gill-color,gill-size,spore-print-color,stalk-surface-above-ring,is_poisonous,height
k,n,k,s,1,4.6
k,b,n,s,0,4.8
n,b,n,s,0,5.6
n,n,k,s,1,4.8
k,b,n,s,0,4.5
n,b,k,s,0,6.4
g,b,k,s,0,4.0
n,b,n,s,0,5.0
p,n,k,s,1,3.7
g,b,k,s,0,6.0
g,b,n,s,0,3.3
n,b,k,s,0,3.8
w,b,n,s,0,3.9
k,n,n,s,1,3.7
n,b,k,s,0,4.6
k,n,n,s,0,7.4
k,b,n,s,0,5.9
n,n,k,s,1,4.8
n,n,n,s,1,5.9
k,n,n,s,1,6.3
k,b,n,s,0,3.9
n,n,n,s,1,4.7
k,b,n,s,0,5.4
w,b,n,s,0,3.5
g,b,k,s,0,6.3
n,n,n,s,1,5.4
n,b,n,s,0,5.7
w,b,n,s,0,4.8
k,n,k,s,0,4.2
n,n,n,s,0,4.6
g,b,n,s,0,3.8
k,n,n,s,1,4.8
n,b,n,s,0,3.4
p,b,n,s,0,4.4
n,b,n,s,0,6.3
w,n,n,s,0,2.7
k,n,k,s,0,6.8
w,n,n,s,1,5.1
p,n,n,s,0,5.4
k,b,k,s,0,6.1
n,b,n,s,0,5.5
n,b,k,s,0,6.5
g,n,k,s,0,4.3
p,n,n,s,1,4.3
w,b,k,s,0,5.0
n,b,n,s,0,5.3
k,b,k,s,0,5.0
w,b,n,s,0,4.1
n,b,n,s,0,5.3
w,b,k,s,0,4.3
w,b,k,s,0,4.7
k,b,k,s,0,6.1
k,b,n,s,0,5.0
k,n,n,s,1,3.8
k,n,k,s,1,5.6
w,b,k,s,0,5.6
n,b,n,s,0,5.6
w,b,n,s,0,4.9
k,b,k,s,0,5.3
p,b,k,s,0,4.8
k,n,n,s,0,3.8
k,b,n,s,0,4.6
g,b,n,s,0,5.1
g,b,n,s,0,5.3
n,b,n,s,0,4.3
k,b,k,s,0,6.3
n,b,k,s,0,4.9
w,b,n,s,0,3.3
w,b,k,s,0,4.1
p,n,n,s,0,5.6
p,n,n,s,0,3.7
g,b,n,s,0,5.2
w,n,n,s,0,5.0
p,b,k,s,0,5.1
k,b,k,s,0,5.3
p,n,n,s,0,3.1
n,n,u,s,0,6.0
p,b,n,s,0,4.3
w,n,n,s,1,4.6
n,b,n,s,0,4.3
k,b,n,f,0,4.8
w,n,k,s,1,6.2
n,n,n,s,0,4.4
n,b,n,s,0,6.0
w,b,k,s,0,6.2
k,b,k,s,0,5.7
w,b,k,s,0,5.5
n,b,n,s,0,5.2
w,b,k,s,0,4.6
n,n,n,s,0,5.0
n,n,n,s,0,5.0
k,b,k,s,0,4.9
g,b,k,s,0,5.3
g,b,k,s,0,5.6
n,b,n,s,0,4.7
g,b,n,s,0,4.6
p,b,n,s,0,4.7
n,b,k,s,0,5.7
g,b,n,s,0,5.5
g,b,k,s,0,4.3
p,b,k,f,0,4.5
n,b,k,s,0,5.6
w,b,n,s,0,4.5
n,b,k,s,0,6.9
g,b,n,s,0,7.0
n,b,k,s,0,3.5
w,b,n,s,0,5.6
n,b,k,s,0,5.8
g,b,n,s,0,5.2
k,b,k,s,0,5.8
w,b,k,s,0,5.5
g,n,k,s,0,5.7
w,n,u,s,0,5.1
n,b,k,s,0,5.7
n,n,n,s,1,4.7
p,b,n,s,0,4.4
p,n,n,s,0,4.8
w,b,k,s,0,5.3
p,n,u,s,0,4.7
k,n,n,s,0,4.1
k,n,k,s,1,6.8
g,b,n,s,0,5.6
p,n,k,s,1,4.4
k,b,n,s,0,5.5
g,b,n,s,0,6.0
n,b,k,s,0,3.1
w,b,n,s,0,4.4
h,b,n,s,0,5.5
n,b,k,s,0,4.6
n,b,n,s,0,3.2
w,b,n,s,0,5.3
w,b,n,s,0,5.3
w,n,u,s,0,6.4
g,b,k,s,0,3.9
p,n,n,s,0,6.6
w,n,n,s,1,4.2
w,n,n,s,0,5.1
n,b,n,s,0,5.7
p,n,n,s,1,6.4
w,b,n,s,0,4.2
w,b,k,s,0,4.5
g,b,k,s,0,5.9
k,n,n,s,0,5.2
w,b,k,s,0,5.7
k,b,k,s,0,5.0
k,b,k,f,0,4.1
k,b,n,s,0,4.2
w,b,n,s,0,5.7
k,b,k,s,0,6.0
g,b,k,s,0,4.9
w,b,n,s,0,6.3
p,b,n,f,0,4.0
g,b,n,s,0,5.1
k,n,k,s,0,6.2
w,n,u,s,0,6.2
w,b,k,s,0,4.3
k,b,n,s,0,4.7
k,b,n,s,0,6.1
n,b,k,s,0,6.5
g,b,k,s,0,4.5
g,b,k,s,0,4.8
n,b,k,s,0,4.8
k,n,n,s,0,5.2
n,b,n,s,0,7.4
k,b,n,s,0,4.2
w,b,n,s,0,4.2
w,b,n,s,0,4.9
w,b,k,s,0,4.2
w,b,k,s,0,4.4
k,b,k,s,0,3.4
g,n,n,s,0,3.1
k,b,n,s,0,2.3
n,n,u,s,0,6.2
w,b,k,s,0,4.7
p,b,n,s,0,6.0
w,b,k,s,0,4.5
k,b,k,s,0,6.8
g,b,n,s,0,3.4
g,b,n,s,0,6.7
g,b,n,s,0,6.0
p,n,n,s,1,4.1
g,n,n,s,0,3.4
g,n,k,s,0,5.1
g,b,n,s,0,5.8
p,b,k,s,0,4.5
k,n,k,s,1,5.1
g,b,n,s,0,5.5
p,n,k,s,0,4.4
g,b,n,s,0,4.9
w,b,n,s,0,5.3
p,b,k,s,0,5.4
w,n,n,s,0,5.7
w,b,n,s,0,5.2
w,n,n,s,0,4.8
k,b,n,s,0,4.8
g,n,n,s,0,3.8
n,b,k,s,0,5.9
g,b,n,s,0,5.6
n,b,n,s,0,5.9
n,n,n,s,0,5.1
w,b,n,s,0,5.0
w,b,k,s,0,5.3
g,b,k,s,0,4.8
h,b,k,f,0,5.4
n,b,k,s,0,4.5
k,n,n,s,1,6.6
n,b,n,s,0,4.7
k,b,k,s,0,3.8
n,b,n,s,0,5.3
w,b,k,s,0,5.4
w,b,k,s,0,5.0
w,b,k,s,0,6.5
n,n,n,s,0,4.6
n,n,n,s,0,4.4
n,b,n,s,0,6.8
n,b,k,s,0,5.2
g,b,k,s,0,3.9
k,b,k,s,0,3.4
w,b,n,s,0,4.0
p,n,n,s,0,4.4
n,b,n,s,0,5.1
k,n,k,s,1,6.6
n,b,n,s,0,5.1
p,n,n,s,0,4.7
g,b,k,s,0,3.9
n,b,k,s,0,4.3
g,b,n,s,0,4.0
g,b,n,s,0,6.5
p,n,k,s,1,5.7
n,b,n,s,0,6.2
n,n,k,s,0,5.0
k,n,k,s,1,5.6
n,b,n,s,0,6.1
k,n,k,s,0,5.5
k,b,n,s,0,2.5
w,n,n,s,0,4.8
w,b,k,s,0,6.1
n,b,n,s,0,5.9
n,b,k,s,0,4.8
p,b,k,s,0,4.5
w,b,k,s,0,6.0
w,b,k,s,0,4.4
w,b,n,s,0,4.5
n,n,k,s,1,5.5
p,n,u,s,0,4.7
w,b,n,s,0,4.3
p,n,u,s,0,6.1
n,b,k,s,0,3.6
w,b,k,s,0,3.3
